"player","team","dyar","dvoa","voa","szn"
"P.Manning","IND","2,317",0.513,0.506,2006
"D.Brees","NO","1,409",0.256,0.276,2006
"C.Palmer","CIN","1,187",0.216,0.167,2006
"M.Bulger","STL","1,145",0.167,0.199,2006
"T.Brady","NE","999",0.17,0.155,2006
"P.Rivers","SD","891",0.174,0.187,2006
"C.Pennington","NYJ","739",0.101,0.059,2006
"T.Romo","DAL","696",0.189,0.243,2006
"D.McNabb","PHI","656",0.186,0.227,2006
"B.Roethlisberger","PIT","623",0.082,0.026,2006
"S.McNair","BAL","622",0.092,0.104,2006
"D.Huard","KC","583",0.243,0.284,2006
"E.Manning","NYG","529",0.041,0.027,2006
"J.Kitna","DET","440",-0.006,-0.023,2006
"B.Favre","GB","394",-0.015,0.003,2006
"M.Brunell","WAS","373",0.108,0.097,2006
"J.Garcia","PHI","364",0.177,0.181,2006
"J.Delhomme","CAR","300",-0.01,0.03,2006
"M.Leinart","ARI","277",0,-0.012,2006
"T.Rattay","TB","205",0.175,0.118,2006
"J.Campbell","WAS","135",-0.011,0.002,2006
"T.Green","KC","116",-0.029,-0.124,2006
"V.Young","TEN","114",-0.063,-0.104,2006
"D.Garrard","JAC","111",-0.046,-0.046,2006
"D.Carr","HOU","92",-0.082,-0.125,2006
"K.Warner","ARI","76",-0.045,0.022,2006
"J.Plummer","DEN","67",-0.081,-0.112,2006
"J.P.Losman","BUF","65",-0.09,-0.115,2006
"R.Grossman","CHI","44",-0.098,-0.05,2006
"M.Hasselbeck","SEA","15",-0.106,-0.067,2006
"B.Leftwich","JAC","13",-0.101,-0.002,2006
"D.Bledsoe","DAL","0",-0.111,-0.097,2006
"J.Cutler","DEN","-15",-0.127,-0.044,2006
"D.Anderson","CLE","-94",-0.228,-0.259,2006
"J.Harrington","MIA","-97",-0.149,-0.202,2006
"C.Weinke","CAR","-100",-0.257,-0.262,2006
"D.Culpepper","MIA","-111",-0.233,-0.198,2006
"A.Smith","SF","-147",-0.16,-0.158,2006
